fips,count_property,count_windfactor1,count_windfactor2,count_windfactor3,count_windfactor4,count_windfactor5,count_windfactor6,count_windfactor7,count_windfactor8,count_windfactor9,count_windfactor10
02571,6782,0,0,0,0,0,0,0,6782,0,0
02575,2464,0,0,0,0,0,0,0,2464,0,0
02576,2113,0,0,0,0,0,0,0,2113,0,0
02584,36,0,0,0,0,0,0,0,36,0,0
02601,6549,0,0,0,0,0,0,0,6549,0,0
02630,1418,0,0,0,0,0,0,0,1418,0,0
02631,7469,0,0,0,0,0,0,0,7469,0,0
02632,6452,0,0,0,0,0,0,0,6452,0,0
02633,5345,0,0,0,0,0,0,0,5340,5,0
02635,2569,0,0,0,0,0,0,0,2569,0,0
02637,224,0,0,0,0,0,0,0,224,0,0
02638,3189,0,0,0,0,0,0,0,3189,0,0
02639,3709,0,0,0,0,0,0,0,3709,0,0
02641,600,0,0,0,0,0,0,0,600,0,0
02642,6469,0,0,0,0,0,0,0,6469,0,0
02643,53,0,0,0,0,0,0,0,53,0,0
02644,1725,0,0,0,0,0,0,0,1725,0,0
02645,7608,0,0,0,0,0,0,0,7608,0,0
02646,2467,0,0,0,0,0,0,0,2467,0,0
02647,237,0,0,0,0,0,0,0,237,0,0
02648,3574,0,0,0,0,0,0,0,3574,0,0
02649,9527,0,0,0,0,0,0,0,9527,0,0
02650,843,0,0,0,0,0,0,0,843,0,0
02652,1620,0,0,0,0,0,0,0,1620,0,0
02653,5409,0,0,0,0,0,0,0,5409,0,0
02655,3041,0,0,0,0,0,0,0,3041,0,0
02657,2370,0,0,0,0,0,0,0,2370,0,0
02659,1383,0,0,0,0,0,0,0,1383,0,0
02660,5080,0,0,0,0,0,0,0,5080,0,0
02663,688,0,0,0,0,0,0,0,688,0,0
02664,6485,0,0,0,0,0,0,0,6485,0,0
02666,1742,0,0,0,0,0,0,0,1742,0,0
02667,4325,0,0,0,0,0,0,0,4325,0,0
02668,2133,0,0,0,0,0,0,0,2133,0,0
02670,2305,0,0,0,0,0,0,0,2305,0,0
02671,1334,0,0,0,0,0,0,0,1334,0,0
02672,344,0,0,0,0,0,0,0,344,0,0
02673,5851,0,0,0,0,0,0,0,5851,0,0
02675,3681,0,0,0,0,0,0,0,3681,0,0
02702,1873,0,0,0,0,0,941,183,749,0,0
02703,14424,0,0,0,0,0,14420,1,3,0,0
02713,202,0,0,0,0,0,0,0,202,0,0
02715,1875,0,0,0,0,0,1182,240,453,0,0
02717,2335,0,0,0,0,0,300,43,1992,0,0
02718,2481,0,0,0,0,0,1515,50,916,0,0
02719,7752,0,0,0,0,0,0,0,7752,0,0
02720,6986,0,0,0,0,0,283,615,6088,0,0
02721,6016,0,0,0,0,0,0,0,6016,0,0
