fips,count_property,count_heatfactor1,count_heatfactor2,count_heatfactor3,count_heatfactor4,count_heatfactor5,count_heatfactor6,count_heatfactor7,count_heatfactor8,count_heatfactor9,count_heatfactor10
01830,7076,0,0,0,3121,3929,26,0,0,0,0
01832,5865,0,0,0,3080,2752,33,0,0,0,0
01833,3132,0,0,0,2452,680,0,0,0,0,0
01834,2467,0,0,0,1788,677,2,0,0,0,0
01835,4056,0,0,0,1287,2764,5,0,0,0,0
01840,699,0,0,0,0,556,143,0,0,0,0
01841,6703,0,0,0,59,6537,107,0,0,0,0
01843,4770,0,0,0,29,4612,129,0,0,0,0
01844,14655,0,0,1,6522,8119,13,0,0,0,0
01845,8336,0,0,0,5315,3017,4,0,0,0,0
01850,3509,0,0,0,901,2607,1,0,0,0,0
01851,5855,0,0,0,659,5195,1,0,0,0,0
01852,7811,0,0,0,1993,5780,38,0,0,0,0
01854,4927,0,0,0,1768,3159,0,0,0,0,0
01860,2270,0,0,0,1997,273,0,0,0,0,0
01862,3582,0,0,0,1823,1750,8,1,0,0,0
01863,2463,0,0,0,2218,245,0,0,0,0,0
01864,5379,0,0,0,1545,3805,29,0,0,0,0
01867,7844,0,0,0,8,7585,250,1,0,0,0
01876,9440,0,0,0,3217,6211,10,2,0,0,0
01879,4129,0,0,188,3912,28,1,0,0,0,0
01880,8566,0,0,0,34,7985,545,2,0,0,0
01886,8092,0,0,38,8024,30,0,0,0,0,0
01887,9129,0,0,0,122,8884,114,9,0,0,0
01890,6862,0,0,0,370,5728,763,1,0,0,0
01901,237,0,0,0,0,4,207,26,0,0,0
01902,7787,0,0,0,0,380,7403,4,0,0,0
01904,6087,0,0,0,2,3033,3050,2,0,0,0
01905,5216,0,0,0,1,888,4318,9,0,0,0
01906,9707,0,0,0,7,6983,2712,5,0,0,0
01907,4638,0,0,0,0,2232,2401,5,0,0,0
01908,1398,0,0,0,0,1262,136,0,0,0,0
01913,5208,0,0,0,2739,2419,50,0,0,0,0
01915,11392,0,0,0,2,5472,5908,10,0,0,0
01921,3186,0,0,0,2583,602,0,1,0,0,0
01922,1180,0,0,0,500,679,1,0,0,0,0
01923,7973,0,0,0,3,4551,3407,11,1,0,0
01929,2048,0,0,0,1,1964,83,0,0,0,0
01930,13015,0,0,0,1,7574,5293,147,0,0,0
01937,1,0,0,0,0,1,0,0,0,0,0
01938,5325,0,0,0,318,4891,116,0,0,0,0
01940,4435,0,0,0,175,4241,19,0,0,0,0
01944,2344,0,0,0,1,1903,440,0,0,0,0
01945,7926,0,0,0,0,3193,4732,0,0,0,0
01949,2943,0,0,0,801,2107,35,0,0,0,0
01950,6475,0,0,0,173,5997,305,0,0,0,0
01951,2258,0,0,0,37,1880,341,0,0,0,0
01952,4355,0,0,0,770,3217,368,0,0,0,0
01960,14302,0,0,0,23,8784,5352,142,1,0,0
01965,176,0,0,0,0,171,5,0,0,0,0
01966,3995,0,0,0,0,2932,1063,0,0,0,0
01969,2654,0,0,0,524,2126,4,0,0,0,0
01970,9641,0,0,0,1,1268,8193,179,0,0,0
01982,2832,0,0,0,2,2750,80,0,0,0,0
01983,2324,0,0,0,141,2164,19,0,0,0,0
01984,1474,0,0,0,0,1430,44,0,0,0,0
01985,1944,0,0,0,1807,137,0,0,0,0,0
02019,6114,0,0,0,5338,774,2,0,0,0,0
02021,7077,0,0,0,297,6261,510,8,1,0,0
02025,3184,0,0,0,13,3132,39,0,0,0,0
02026,8618,0,0,0,0,4080,4525,13,0,0,0
02030,2506,0,0,0,189,2300,17,0,0,0,0
02032,1562,0,0,0,0,1491,70,1,0,0,0
02035,5981,0,0,0,3619,2360,2,0,0,0,0
02038,9801,0,0,0,8758,1036,7,0,0,0,0
02043,7615,0,0,0,421,6950,244,0,0,0,0
02045,4794,0,0,0,19,3559,1216,0,0,0,0
02047,608,0,0,0,5,549,54,0,0,0,0
02048,7293,0,0,0,1771,5479,40,2,1,0,0
02050,11987,0,0,0,1089,10519,379,0,0,0,0
02052,4305,0,0,0,319,3983,3,0,0,0,0
02053,4796,0,0,0,4419,376,1,0,0,0,0
02054,3155,0,0,0,1237,1917,1,0,0,0,0
02056,3939,0,0,0,2804,1135,0,0,0,0,0
02061,4421,0,0,0,1028,3389,4,0,0,0,0
02062,8100,0,0,0,0,3398,4667,35,0,0,0
02066,7920,0,0,0,104,7742,74,0,0,0,0
02067,6476,0,0,0,3178,3297,1,0,0,0,0
02071,340,0,0,0,187,153,0,0,0,0,0
02072,9376,0,0,0,1764,7525,87,0,0,0,0
02081,6812,0,0,0,753,5969,90,0,0,0,0
02090,5156,0,0,0,3,4136,997,20,0,0,0
02093,4565,0,0,0,3742,822,1,0,0,0,0
02108,622,0,0,0,0,1,612,9,0,0,0
02109,356,0,0,0,0,20,336,0,0,0,0
02110,180,0,0,0,0,73,107,0,0,0,0
02111,439,0,0,0,0,2,390,47,0,0,0
02113,916,0,0,0,0,9,877,30,0,0,0
02114,1071,0,0,0,0,7,1006,58,0,0,0
02115,1218,0,0,0,0,5,1142,71,0,0,0
02116,2144,0,0,0,0,1,2131,12,0,0,0
02118,2322,0,0,0,0,0,2285,37,0,0,0
02119,4777,0,0,0,0,153,4623,1,0,0,0
02120,1370,0,0,0,0,76,1288,6,0,0,0
02121,3744,0,0,0,0,69,3675,0,0,0,0
02122,4635,0,0,0,0,74,4560,1,0,0,0
02124,9071,0,0,0,0,260,8809,2,0,0,0
02125,5496,0,0,0,1,217,5272,6,0,0,0
02126,4533,0,0,0,0,142,4371,20,0,0,0
02127,6293,0,0,0,0,17,6162,114,0,0,0
02128,6518,0,0,0,0,135,6325,58,0,0,0
02129,3075,0,0,0,0,44,3025,6,0,0,0
02130,6445,0,0,0,0,1414,5028,3,0,0,0
02131,6883,0,0,0,0,969,5887,27,0,0,0
02132,9580,0,0,0,0,4496,5084,0,0,0,0
02133,10,0,0,0,0,0,10,0,0,0,0
02134,2142,0,0,0,0,2,1913,227,0,0,0
02135,5262,0,0,0,0,1130,4108,22,2,0,0
02136,8214,0,0,0,0,1622,6570,22,0,0,0
02138,4611,0,0,0,0,1088,3507,16,0,0,0
02139,3921,0,0,0,0,9,3718,194,0,0,0
02140,2623,0,0,0,0,97,2526,0,0,0,0
02141,1644,0,0,0,0,3,1554,87,0,0,0
02142,119,0,0,0,0,7,107,5,0,0,0
02143,4374,0,0,0,0,0,4204,170,0,0,0
02144,4606,0,0,0,0,30,4572,4,0,0,0
02145,4306,0,0,0,0,3,4285,18,0,0,0
02148,11595,0,0,0,0,2284,9255,56,0,0,0
02149,7904,0,0,0,0,55,7698,151,0,0,0
02150,4869,0,0,0,0,61,4535,273,0,0,0
02151,12772,0,0,0,0,1414,11350,8,0,0,0
02152,4588,0,0,0,2,930,3656,0,0,0,0
02155,14810,0,0,0,0,5497,9289,24,0,0,0
02163,7,0,0,0,0,1,6,0,0,0,0
02169,12461,0,0,0,2,6571,5887,1,0,0,0
02170,4843,0,0,0,0,1342,3490,11,0,0,0
02171,3966,0,0,0,0,1185,2765,16,0,0,0
02176,8418,0,0,0,26,6662,1730,0,0,0,0
02180,6318,0,0,0,29,5982,307,0,0,0,0
02184,11653,0,0,0,246,10793,608,6,0,0,0
02186,8530,0,0,0,0,3727,4803,0,0,0,0
02188,4241,0,0,0,141,4074,26,0,0,0,0
02189,4223,0,0,0,22,4086,115,0,0,0,0
02190,5368,0,0,0,1056,4191,121,0,0,0,0
02191,3041,0,0,0,3,2812,226,0,0,0,0
02199,13,0,0,0,0,0,11,2,0,0,0
02203,1,0,0,0,0,0,1,0,0,0,0
02205,8,0,0,0,0,1,7,0,0,0,0
02210,353,0,0,0,0,42,299,12,0,0,0
02215,886,0,0,0,0,20,851,15,0,0,0
02301,14547,0,0,0,1209,13164,172,2,0,0,0
02302,10579,0,0,0,1216,9345,18,0,0,0,0
02322,1929,0,0,0,626,1288,13,2,0,0,0
02324,8056,0,0,0,820,7218,18,0,0,0,0
02325,45,0,0,0,1,44,0,0,0,0,0
02330,4614,0,0,0,361,4239,14,0,0,0,0
02332,6231,0,0,0,718,5510,3,0,0,0,0
02333,6066,0,0,0,1121,4936,8,0,1,0,0
02338,3041,0,0,0,118,2917,6,0,0,0,0
02339,5165,0,0,0,680,4478,6,1,0,0,0
02341,3971,0,0,0,561,3408,2,0,0,0,0
02343,4824,0,0,0,1266,3549,9,0,0,0,0
02346,9360,0,0,1,2927,6411,19,2,0,0,0
02347,5051,0,0,0,2058,2992,1,0,0,0,0
02350,121,0,0,0,2,119,0,0,0,0,0
02351,5202,0,0,0,1432,3768,2,0,0,0,0
02356,4510,0,0,0,2089,2420,1,0,0,0,0
02357,1,0,0,0,0,1,0,0,0,0,0
02359,6674,0,0,0,385,6281,8,0,0,0,0
02360,26052,0,0,0,3668,21992,392,0,0,0,0
02364,5488,0,0,0,91,5371,26,0,0,0,0
02366,,0,0,0,0,0,0,0,0,0,0
02367,1399,0,0,0,79,1315,5,0,0,0,0
02368,9272,0,0,0,252,8785,232,3,0,0,0
02370,5268,0,0,0,819,4435,14,0,0,0,0
02375,3446,0,0,0,1571,1874,1,0,0,0,0
02379,3146,0,0,0,1080,2057,9,0,0,0,0
02382,4720,0,0,0,557,4156,7,0,0,0,0
02420,5018,0,0,0,272,4733,13,0,0,0,0
02421,6357,0,0,0,300,6009,48,0,0,0,0
02445,3381,0,0,0,0,1772,1604,5,0,0,0
02446,2805,0,0,0,0,457,2337,11,0,0,0
02451,5020,0,0,0,32,4237,750,1,0,0,0
02452,2348,0,0,0,1,1977,370,0,0,0,0
02453,5951,0,0,0,0,2455,3492,4,0,0,0
02457,4,0,0,0,0,4,0,0,0,0,0
02458,3409,0,0,0,0,1666,1735,8,0,0,0
02459,5706,0,0,0,0,4637,1069,0,0,0,0
02460,2450,0,0,0,0,793,1657,0,0,0,0
02461,2383,0,0,0,0,1741,642,0,0,0,0
02462,494,0,0,0,0,304,190,0,0,0,0
02464,770,0,0,0,0,534,232,4,0,0,0
02465,3873,0,0,0,0,1872,2001,0,0,0,0
02466,1833,0,0,0,0,792,1040,1,0,0,0
02467,3686,0,0,0,6,3511,169,0,0,0,0
02468,2046,0,0,0,0,1778,268,0,0,0,0
02472,7732,0,0,0,0,3111,4615,6,0,0,0
02474,7472,0,0,0,209,4602,2661,0,0,0,0
02476,5134,0,0,0,139,4636,359,0,0,0,0
02478,7292,0,0,0,42,5649,1601,0,0,0,0
02481,5033,0,0,0,0,4762,271,0,0,0,0
02482,3340,0,0,0,0,3139,201,0,0,0,0
02492,6767,0,0,0,0,5206,1559,2,0,0,0
02493,4068,0,0,0,265,3793,10,0,0,0,0
02494,3010,0,0,0,0,1911,1091,7,1,0,0
02532,6324,0,0,0,530,5724,70,0,0,0,0
02534,945,0,0,0,49,895,1,0,0,0,0
02535,3583,0,0,6,3451,126,0,0,0,0,0
02536,13173,0,0,0,5568,7588,17,0,0,0,0
02537,3732,0,0,0,2251,1465,16,0,0,0,0
02538,2219,0,0,0,102,2108,9,0,0,0,0
02539,6301,0,0,512,5765,24,0,0,0,0,0
02540,6089,0,0,0,534,5530,25,0,0,0,0
02542,7,0,0,0,1,5,1,0,0,0,0
02543,928,0,0,0,71,857,0,0,0,0,0
02553,154,0,0,0,2,151,1,0,0,0,0
02554,12102,0,296,11030,776,0,0,0,0,0,0
02556,3002,0,0,0,28,2967,7,0,0,0,0
02557,2986,0,0,0,1768,1218,0,0,0,0,0
02558,1693,0,0,0,82,1569,42,0,0,0,0
02559,2837,0,0,0,90,2737,10,0,0,0,0
02561,355,0,0,0,15,339,1,0,0,0,0
02562,1793,0,0,0,449,1344,0,0,0,0,0
02563,5021,0,0,0,2150,2868,3,0,0,0,0
02564,1448,0,77,1326,45,0,0,0,0,0,0
02568,5701,0,0,0,4656,1045,0,0,0,0,0
02571,6782,0,0,0,184,6578,20,0,0,0,0
02575,2464,0,0,0,2096,368,0,0,0,0,0
02576,2113,0,0,0,28,2082,3,0,0,0,0
02584,36,0,0,36,0,0,0,0,0,0,0
02601,6549,0,0,0,1991,4341,214,3,0,0,0
02630,1418,0,0,0,998,420,0,0,0,0,0
02631,7469,0,0,0,806,6659,4,0,0,0,0
02632,6452,0,0,0,4886,1566,0,0,0,0,0
02633,5345,0,0,0,175,5114,56,0,0,0,0
02635,2569,0,0,0,2269,300,0,0,0,0,0
